분류,표기,요미가나,한국어 뜻
중급,物騒になる,ぶっそうになる,위험해지다
중급,落ち込む,おちこむ,"낙담하다, 악화되다"
중급,がっかりする,がっかりする,"실망하다, 낙담하다"
중급,精いっぱい,せいいっぱい,힘껏
중급,一生懸命,いっしょうけんめい,열심히
중급,同情する,どうじょうする,동정하다
중급,定める,さだめる,"정하다, 결정하다"
중급,決める,きめる,"정하다, 결정하다"
중급,ハードな,ハードな,"엄격한, 고된"
중급,大変な,たいへんな,힘든
중급,動揺する,どうようする,동요하다
중급,不安になる,ふあんになる,불안해지다
중급,引き返す,ひきかえす,"되돌아가다, 되돌아오다"
중급,戻る,もどる,"되돌아가다, 되돌아오다"
중급,一層,いっそう,"한층 더, 더욱더"
중급,もっと,もっと,"더, 더욱"
중급,かかりつけ,かかりつけ,단골
중급,いつも行く,いつもいく,늘 가다
중급,ガイド,ガイド,"가이드, 안내"
중급,案内,あんない,안내
중급,真剣に,しんけんに,진지하게
중급,まじめに,まじめに,"진지하게, 성실하게"
중급,あまりいない,あまりいない,별로 없다
중급,終日,しゅうじつ,종일
중급,一日中,いちにちじゅう,하루 종일
중급,いじる,いじる,만지다
중급,触る,さわる,만지다
중급,失望する,しつぼうする,실망하다
중급,とりかかる,とりかかる,착수하다
중급,仕事を始める,しごとをはじめる,일을 시작하다
중급,人柄,ひとがら,인품
중급,性格,せいかく,성격
중급,案の定,あんのじょう,아니나 다를까
중급,やっぱり,やっぱり,역시
중급,くるむ,くるむ,감싸다
중급,包む,つつむ,싸다
중급,最寄り,もより,가장 가까움
중급,一番近い,いちばんちかい,가장 가깝다
중급,レンタル,レンタル,"렌탈, 대여"
중급,指図,さしず,지시
중급,命令,めいれい,명령
중급,欠かせない,かかせない,빠뜨릴 수 없다
중급,ないと困る,ないとこまる,없으면 곤란하다
중급,依然,いぜん,여전히
중급,まだ,まだ,아직
중급,再三,さいさん,여러 번
중급,でたらめ,でたらめ,엉터리
중급,うそ,うそ,거짓말
중급,勘定,かんじょう,"지불, 계산"
중급,会計,かいけい,"회계, 계산"
중급,さわがしい,さわがしい,시끄럽다
중급,書籍,しょせき,서적
중급,本,ほん,책
중급,すっかり変わる,すっかりかわる,완전히 바뀌다
중급,とがる,とがる,뾰족해지다
중급,細くなる,ほそくなる,가늘어지다
중급,くだらない,くだらない,시시하다
중급,価値がない,かちがない,가치가 없다
중급,惜しい,おしい,아깝다
중급,もったいない,もったいない,아깝다
중급,概要,がいよう,개요
중급,大体の内容,だいたいのないよう,대체적인 내용
중급,油断している,ゆだんしている,방심하고 있다
중급,各自,かくじ,각자
중급,一人一人,ひとりひとり,한사람 한사람
중급,仕上げる,しあげる,"마무리하다, 완성시키다"
중급,深刻な,しんこくな,심각한
중급,重大な,じゅうだいな,중대한
중급,同僚,どうりょう,동료
중급,同じ会社の人,おなじかいしゃのひと,같은 회사 사람
중급,おおよそ,おおよそ,대략
중급,大体,だいたい,대충
중급,マナー,マナー,"매너, 예의"
중급,行儀,ぎょうぎ,"예의, 예절"
중급,いばる,いばる,뽐내다
중급,偉そうな,えらそうな,잘난 체하는
중급,収納,しゅうのう,수납
중급,しまう,しまう,(물건 등을)넣다
중급,文句,もんく,불평
중급,修正する,しゅうせいする,수정하다
중급,直す,なおす,고치다
중급,次第に,しだいに,"점차, 점점"
중급,はげる,はげる,벗겨지다
중급,取れる,とれる,떨어지다
중급,しぐさ,しぐさ,행위
중급,動作,どうさ,동작
중급,取材,しゅざい,취재
중급,外す,はずす,"떼어 내다, 밖으로 빼내다"
중급,きっかけ,きっかけ,계기
중급,注目,ちゅうもく,주목
중급,外見,がいけん,"외관, 겉보기"
중급,保つ,たもつ,"유지하다, 보존하다"
중급,方針,ほうしん,방침
중급,範囲,はんい,범위
중급,せめて,せめて,"적어도, 하다못해"
중급,質素な,しっそな,검소한
중급,利益,りえき,이익
중급,とっくに,とっくに,"진작에, 훨씬 전에"
중급,かなう,かなう,"(꿈, 희망 등이) 이루어지다"
중급,受け入れる,うけいれる,받아들이다
중급,廃止,はいし,폐지
중급,矛盾,むじゅん,모순
중급,心強い,こころづよい,든든하다
중급,問い合わせる,といあわせる,문의하다
중급,さっさと,さっさと,"빨리, 서둘러서"
중급,交代,こうたい,"교대, 교체"
중급,塞ぐ,ふさぐ,"막다, 차단하다"
중급,合同,ごうどう,합동
중급,冷静な,れいせいな,냉정한
중급,掲示,けいじ,게시
중급,補足,ほそく,"보충, 보완"
중급,快い,こころよい,"기분 좋다, 유쾌하다"
중급,慌ただしい,あわただしい,"분주하다, 어수선하다"
중급,分野,ぶんや,분야
중급,かすかな,かすかな,희미한
중급,生き生き,いきいき,생기가 넘치는 모양
중급,催促,さいそく,재촉
중급,隔てる,へだてる,"멀리하다, 사이에 두다"
중급,頑丈な,がんじょうな,튼튼한
중급,会見,かいけん,회견
중급,畳む,たたむ,"접다, 개다"
중급,支持,しじ,지지
중급,合図,あいず,신호
중급,妥当な,だとうな,타당한
중급,こつこつと,こつこつと,꾸준하게
중급,言い訳,いいわけ,변명
중급,手軽な,てがるな,"손쉬운, 간편한"
중급,温暖な,おんだんな,온난한
중급,作成,さくせい,작성
중급,振り向く,ふりむく,돌아보다
중급,いったん,いったん,일단
중급,用途,ようと,용도
중급,思いつく,おもいつく,생각이 떠오르다
중급,甘やかす,あまやかす,응석을 받아 주다
중급,中断,ちゅうだん,중단
중급,行方,ゆくえ,행방
중급,たくましい,たくましい,"씩씩하다, 늠름하다"
중급,発達,はったつ,발달
중급,延長,えんちょう,연장
중급,さびる,さびる,녹슬다
중급,引退,いんたい,은퇴
중급,目上,めうえ,"손윗사람, 연장자"
중급,おおげさ,おおげさ,과장
중급,生じる,しょうじる,생기다
중급,反省,はんせい,반성
중급,頂上,ちょうじょう,정상
중급,分解,ぶんかい,분해
중급,略す,りゃくす,줄이다
중급,覆う,おおう,덮다
중급,破る,やぶる,"찢다, 파기하다"
중급,限定,げんてい,한정
중급,一斉に,いっせいに,일제히
중급,散らかす,ちらかす,"어지르다, 흩뜨리다"
중급,論争,ろんそう,논쟁
중급,演説,えんぜつ,연설
중급,きっぱり,きっぱり,단호히
중급,保存,ほぞん,보존
중급,鈍い,にぶい,둔하다
중급,日課,にっか,일과
중급,多彩,たさい,다채
중급,乗り継ぐ,のりつぐ,다른 탈것으로 갈아타다
중급,初歩,しょほ,초보
중급,だらしない,だらしない,단정하지 못하다
중급,特殊,とくしゅ,특수
중급,しみる,しみる,"번지다, 스며들다"
중급,充満,じゅうまん,충만
중급,めくる,めくる,넘기다
중급,初期,しょき,초기
중급,打ち明ける,うちあける,"털어놓다, 고백하다"
중급,欠陥,けっかん,결함
중급,引用,いんよう,인용
중급,ほっと,ほっと,긴장이 풀려 안심하는 모양
중급,展開,てんかい,전개
중급,妥当,だとう,타당
중급,かばう,かばう,"편들다, 두둔하다"
중급,急激,きゅうげき,급격
중급,漏れる,もれる,새다
중급,傾向,けいこう,경향
중급,温厚,おんこう,"온후, 다정다감함"
중급,世代,せだい,세대
중급,頑固,がんこ,완고
중급,打ち合わせ,うちあわせ,협의
중급,ベテラン,ベテラン,"베테랑, 고수"
중급,荒れる,あれる,"거칠어지다, 황폐해지다"
중급,早期,そうき,조기
중급,偉大,いだい,위대
중급,印,しるし,표시
중급,さまたげる,さまたげる,방해하다
중급,腫れる,はれる,붓다
중급,上達,じょうたつ,"기능이 향상됨, 숙달"
중급,暮れ,くれ,저물 때
중급,残高,ざんだか,잔액
중급,共有,きょうゆう,공유
중급,はきはき,はきはき,확실한 모양
중급,鑑賞,かんしょう,감상
중급,着々,ちゅくちゃく,"착착, 순조롭게"
중급,薄める,うすめる,"희석하다, 묽게 하다"
중급,充実,じゅうじつ,충실
중급,鮮明,せんめい,선명
중급,ふもと,ふもと,(산)기슭
중급,定年,ていねん,정년
